departement;nombre_declarations;superficie;superficie_aop;superficie_cognac;superficie_igp;superficie_vsig;qte_aop_blanc;qte_aop_rouge;qte_aop_rose;qte_vci;qte_igp_blanc;qte_igp_rouge;qte_igp_rose;qte_igp_vci;qte_vsig_blanc;qte_vsig_rouge;qte_vsig_rose;qte_cognac;prod_commerciale;prod_noncommerciale;total;region
01 AIN;382;758;552;0;17;189;12323;2897;12658;0;443;80;91;0;2977;1673;5847;0;38989;244;39233;Rhône-Alpes
02 AISNE;804;2441;2436;0;0;5;164777;0;0;0;0;0;0;0;349;8;0;0;165134;14343;179477;Picardie
03 ALLIER;209;647;553;0;8;86;7394;12767;3382;0;0;100;0;0;548;653;1580;0;26424;679;27103;Auvergne
04 ALPES-HTE-PR;78;674;282;0;319;72;1609;5278;6583;0;2915;6129;13148;0;213;879;3714;0;40468;1265;41733;PACA
05 ALPES-HAUTES;110;116;0;0;101;15;0;0;0;0;878;1919;1055;0;88;226;7;0;4174;282;4456;PACA
06 ALPES-Mmes;31;86;54;0;26;6;580;521;282;0;142;384;181;0;7;60;24;0;2180;65;2245;PACA
07 ARDECHE;1825;10321;2665;0;7015;640;9293;89773;6597;430;81450;185735;116086;0;8601;10564;1107;0;509635;11309;520944;Rhône-Alpes
08 ARDENNES;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;5;0;5;Champagne-Ardenne
09 ARIEGE;42;67;0;0;53;15;0;0;0;0;179;1511;377;0;16;397;15;0;2494;51;2544;Midi-Pyrénées
10 AUBE;2647;6968;6951;0;0;16;479698;0;0;0;0;0;0;0;204;274;119;0;480294;34377;514671;Champagne-Ardenne
11 AUDE;5535;67810;19683;0;44433;3694;114027;599713;68984;0;584468;1869845;271893;167;63675;219792;24696;0;3817261;67500;3884761;Languedoc-Roussillon
12 AVEYRON;150;404;280;0;41;83;363;9248;1657;0;202;743;135;0;97;1227;187;0;13859;364;14223;Midi-Pyrénées
13 BOUCHES-DU-R;1166;10151;6670;0;3205;275;19157;38795;283397;591;12786;71070;153658;0;10380;4912;4958;0;599704;23155;622859;PACA
14 CALVADOS;1;5;0;0;5;0;0;0;0;0;113;69;0;0;1;0;0;0;183;0;183;Basse-Normandie
15 CANTAL;9;8;2;0;5;1;16;43;20;0;38;55;8;0;5;23;0;0;208;4;212;Auvergne
16 CHARENTE;3161;39145;137;37838;438;732;3820;0;4610;0;6871;17627;1072;0;24861;23271;1559;4697139;4780830;8248;4789078;Poitou-Charentes
17 CHARENTE-MAR;4232;38783;963;35614;1084;1122;33256;0;37545;0;26756;39382;4946;0;74960;38144;4105;4591089;4850182;12430;4862613;Poitou-Charentes
18 CHER;608;4191;4042;0;47;102;180995;32760;16413;0;1334;743;504;0;286;875;364;0;234273;742;235015;Centre
19 CORREZE;344;139;0;0;73;65;0;0;0;0;475;1034;461;0;13;1341;11;0;3335;0;3335;Limousin
21 COTE DOR;1556;9528;9414;0;29;85;165485;216106;1490;134;474;355;66;0;1029;2248;84;0;387472;4576;392048;Bourgogne
24 DORDOGNE;1625;11476;10640;14;239;582;177811;241280;45868;1849;2926;10415;3050;0;5145;14339;2076;1602;506360;12286;518646;Aquitaine
25 DOUBS;77;22;1;0;8;14;9;0;0;0;189;18;23;0;209;177;17;0;641;11;652;Franche-Comté
26 DROME;1729;15995;13686;0;2039;270;126095;462687;35718;5485;13537;80624;19013;0;987;7705;769;0;752620;21017;773637;Rhône-Alpes
28 EURE-ET-LOIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;7;Centre
2A CORSE SUD;46;887;737;0;57;93;4108;13496;9014;0;561;1629;2032;0;329;1891;994;0;34054;950;35004;Corse
2B CORSE(HTE);285;4908;2007;0;2653;248;14098;24122;49876;0;24382;44551;170087;0;6443;4227;6555;0;344342;8924;353266;Corse
30 GARD;4017;52498;19302;0;30395;2802;65073;670057;167431;6525;371023;1040615;698763;0;42637;163671;59313;0;3285109;84293;3369402;Languedoc-Roussillon
31 GARONNE(HTE);299;1547;884;0;473;190;0;29695;12601;0;457;16600;12704;0;284;3311;507;0;76158;2014;78172;Midi-Pyrénées
32 GERS;1327;17711;1679;1558;11637;2837;18458;61739;14536;0;890276;79250;92695;42;358423;14910;13646;154607;1698582;30518;1729100;Midi-Pyrénées
33 GIRONDE;6889;113645;111471;0;251;1923;556417;4535671;222595;83430;6067;15167;3723;0;11498;90760;24649;0;5549977;122290;5672267;Aquitaine
34 HERAULT;9102;81124;15498;0;59455;6171;139724;380748;105159;0;1053320;2261139;934909;776;119405;369872;56135;0;5421186;131692;5552878;Languedoc-Roussillon
36 INDRE;354;557;298;0;88;171;6798;3833;2461;0;3018;1625;544;0;1105;2546;680;0;22611;241;22852;Centre
37 INDRE-ET-L;1162;9726;9051;0;94;581;159881;224249;39829;958;1571;2202;881;0;9793;7380;10303;0;457047;9334;466382;Centre
38 ISERE;1019;690;155;0;72;463;8676;591;177;0;873;1559;139;0;1820;5074;201;0;19110;110;19220;Rhône-Alpes
39 JURA;962;2149;1976;0;9;164;53454;16849;2635;0;182;69;0;0;3005;2827;235;0;79256;996;80253;Franche-Comté
40 LANDES;385;1503;318;343;633;209;2541;8639;6546;0;31539;6706;10237;0;24007;1846;1875;31839;125775;3674;129449;Aquitaine
41 LOIR-ET-CHER;570;6454;4997;0;791;666;144136;46205;44748;0;23859;10852;4994;0;10041;8261;882;0;293977;5331;299308;Centre
42 LOIRE;343;940;621;0;186;132;5647;15572;1477;0;2631;2971;1882;0;1456;2121;855;0;34613;487;35100;Rhône-Alpes
43 LOIRE(HAUTE);86;41;0;0;0;41;0;0;0;0;0;0;0;0;18;199;352;0;569;0;569;Auvergne
44 LOIRE ATLAN;954;11650;8207;0;1553;1890;421180;2197;2019;20;65880;19381;34949;0;92146;14445;37742;0;689959;14767;704726;Pays-de-la-Loire
45 LOIRET;62;432;156;0;15;261;2020;1945;781;0;73;318;62;0;114;210;80;0;5602;174;5776;Centre
46 LOT;937;4902;3359;0;1044;499;0;163244;1352;2901;3686;57841;17662;0;310;25368;2574;0;274937;6578;281515;Midi-Pyrénées
47 LOT-ET-GAR;1121;5792;4291;28;844;629;28917;140179;59356;745;43549;19317;11650;0;20381;18978;3571;2680;349324;5067;354391;Aquitaine
48 LOZERE;9;12;0;0;11;1;0;0;0;0;66;122;25;0;0;24;0;0;237;5;242;Languedoc-Roussillon
49 MAINE-ET-L;1353;19340;17264;0;941;1135;296264;166638;472738;1573;40220;12079;9404;0;24084;12784;17401;0;1053187;20404;1073591;Pays-de-la-Loire
51 MARNE;12137;23183;23178;0;0;5;1575472;0;0;0;0;0;0;0;150;20;21;0;1575663;230462;1806125;Champagne-Ardenne
52 MARNE(HAUTE);152;133;50;0;33;51;3457;0;0;0;847;614;255;0;360;306;55;0;5895;431;6326;Champagne-Ardenne
53 MAYENNE;3;2;0;0;0;2;0;0;0;0;0;499;0;0;45;2;21;0;566;2;568;Pays-de-la-Loire
54 MEURTHE-&-M;69;141;79;0;0;63;553;686;2163;0;0;0;0;0;712;167;710;0;4990;63;5053;Lorraine
55 MEUSE;13;41;0;0;33;8;0;0;0;0;864;0;386;0;284;62;29;0;1625;87;1712;Lorraine
57 MOSELLE;61;95;39;0;0;57;882;697;171;0;0;0;0;0;2302;506;198;0;4757;19;4777;Lorraine
58 NIEVRE;311;1585;1406;0;107;72;78773;2130;794;0;2395;1185;304;0;431;562;204;0;86779;77;86856;Bourgogne
59 NORD;3;1;0;0;0;1;0;0;0;0;0;0;0;0;22;22;0;0;44;0;44;Nord-Pas-de-Calais
60 OISE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;1;0;17;0;17;Picardie
62 PAS DE CALAIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;Nord-Pas-de-Calais
63 PUY-DE-DOME;519;465;266;0;72;128;1511;6300;2543;0;623;1646;773;0;408;3902;620;0;18326;214;18540;Auvergne
64 PYRENEES-AT;675;2427;2273;0;48;106;51916;33484;7872;0;486;1358;325;0;675;2637;633;0;99385;1295;100680;Aquitaine
65 PYRENEES(HTE);243;468;195;0;17;256;894;7995;158;0;138;455;182;0;82;983;134;0;11021;257;11278;Midi-Pyrénées
66 PYRENEES-OR;2719;22533;15291;0;6470;771;94535;212392;138832;0;116027;137008;76692;0;17684;16917;5026;0;815113;27596;842710;Languedoc-Roussillon
67 RHIN(BAS);1828;6637;6604;0;0;33;408920;4547;22187;0;0;0;0;0;750;16;41;0;436461;10447;446908;Alsace
68 RHIN (HAUT);2355;8942;8924;0;0;17;513632;7502;30177;0;6;0;0;0;766;313;26;0;552421;7507;559928;Alsace
69 RHONE;2605;16669;16332;0;95;242;73762;568987;13257;121;1052;2176;468;0;2205;3610;2986;0;668626;36549;705175;Rhône-Alpes
70 SAONE(HAUTE);92;105;0;0;69;36;0;0;0;0;1316;950;213;0;354;305;270;0;3408;31;3439;Franche-Comté
71 SAONE-ET-L;1943;12951;12846;0;13;92;514555;175218;3226;12165;194;121;7;0;1973;1049;427;0;708935;18244;727180;Bourgogne
72 SARTHE;136;205;141;0;7;57;3038;868;460;0;4;212;82;0;729;595;708;0;6694;177;6871;Pays-de-la-Loire
73 SAVOIE;591;1860;1669;0;85;105;70459;22433;5897;51;3502;659;268;0;3824;1369;778;0;109240;1767;111007;Rhône-Alpes
74 SAVOIE(HTE);103;248;147;0;11;90;4292;581;200;0;390;42;25;0;3725;2146;37;0;11437;65;11503;Rhône-Alpes
77 SEINE ET MARNE;9;22;22;0;0;0;1554;0;0;0;0;0;0;0;0;0;0;0;1554;162;1716;Ile-de-France
79 SEVRES(DEUX);834;946;659;0;36;251;14995;2490;25008;47;1659;150;435;0;972;5910;518;0;52183;709;52892;Poitou-Charentes
81 TARN;652;6460;3200;0;2288;972;42332;85413;18694;0;33729;92833;18077;0;24733;23305;8102;0;347217;7606;354823;Midi-Pyrénées
82 TARN-ET-G;445;1606;767;0;480;359;0;28181;12031;0;2093;17860;12456;0;227;8017;3149;0;84013;2054;86067;Midi-Pyrénées
83 VAR;3503;27663;21612;0;5700;350;35940;83017;921367;741;23885;57152;275628;0;2698;4374;11290;0;1416092;58549;1474641;PACA
84 VAUCLUSE;4023;45877;35700;0;8631;1547;95424;1234906;170185;11115;83008;262114;158920;0;13889;46444;15017;0;2091022;61347;2152369;PACA
85 VENDEE;1582;1084;484;0;224;376;6556;7962;9570;0;4764;3940;5422;0;3524;4636;8196;0;54571;1399;55970;Pays-de-la-Loire
86 VIENNE;1261;1320;531;0;459;330;15823;5074;8999;0;18858;4951;3626;0;1520;5768;1257;0;65876;731;66607;Poitou-Charentes
87 VIENNE(HTE);6;7;0;0;5;1;0;0;0;0;0;38;120;0;15;11;0;0;183;15;198;Limousin
88 VOSGES;98;21;0;0;0;21;0;0;0;0;0;0;0;0;173;380;0;0;553;0;553;Lorraine
89 YONNE;947;7566;7505;0;12;49;396596;25008;2873;23892;413;44;25;0;563;819;256;0;450490;9430;459920;Bourgogne
90 T. de BELFORT;2;1;0;0;0;1;0;0;0;0;7;0;0;0;11;0;0;0;18;1;18;Franche-Comté
;;;;;;;;;;;;;;;;;;;;;;
TOTAUX;97529;747507;441200;75396;195280;35631;7429973;10733407;3137196;152773;3595666;6467838;3147800;985;1007779;1214648;350506;9478955;46717525;1138092;47855617;
